customer,type_c,consumption_c,location_c
Customer131,Class01,center,CIUDAD DE MEXICO
Customer132,Class01,center,CIUDAD DE MEXICO
Customer133,Class01,center,CIUDAD DE MEXICO
Customer134,Class01,center,CIUDAD DE MEXICO
Customer135,Class01,center,CIUDAD DE MEXICO
Customer136,Class01,center,CIUDAD DE MEXICO
Customer137,Class01,center,CIUDAD DE MEXICO
Customer138,Class01,center,CIUDAD DE MEXICO
Customer139,Class01,center,CIUDAD DE MEXICO
Customer140,Class01,center,CIUDAD DE MEXICO
Customer141,Class01,center,CIUDAD DE MEXICO
Customer142,Class01,center,CIUDAD DE MEXICO
Customer143,Class01,center,CIUDAD DE MEXICO
Customer144,Class01,center,CIUDAD DE MEXICO
Customer145,Class01,center,CIUDAD DE MEXICO
Customer146,Class01,center,CIUDAD DE MEXICO
Customer147,Class01,center,CIUDAD DE MEXICO
Customer148,Class01,center,CIUDAD DE MEXICO
Customer149,Class01,center,CIUDAD DE MEXICO
Customer150,Class01,center,CIUDAD DE MEXICO
Customer151,Class02,center,CIUDAD DE MEXICO
Customer152,Class01,center,CIUDAD DE MEXICO
Customer153,Class01,center,CIUDAD DE MEXICO
Customer154,Class01,center,CIUDAD DE MEXICO
Customer155,Class01,center,CIUDAD DE MEXICO
Customer156,Class01,center,CIUDAD DE MEXICO
Customer157,Class01,center,CIUDAD DE MEXICO
Customer158,Class01,center,CIUDAD DE MEXICO
Customer159,Class01,center,CIUDAD DE MEXICO
Customer160,Class01,center,CIUDAD DE MEXICO
Customer161,Class01,center,CIUDAD DE MEXICO
Customer162,Class01,center,CIUDAD DE MEXICO
Customer163,Class01,center,CIUDAD DE MEXICO
Customer164,Class01,center,CIUDAD DE MEXICO
Customer165,Class01,center,CIUDAD DE MEXICO
Customer166,Class01,center,CIUDAD DE MEXICO
Customer167,Class01,center,CIUDAD DE MEXICO
Customer168,Class01,center,CIUDAD DE MEXICO
Customer169,Class01,center,CIUDAD DE MEXICO
Customer170,Class02,center,CIUDAD DE MEXICO
Customer171,Class01,center,CIUDAD DE MEXICO
Customer172,Class01,center,CIUDAD DE MEXICO
Customer173,Class01,center,CIUDAD DE MEXICO
Customer174,Class01,center,CIUDAD DE MEXICO
Customer175,Class01,center,CIUDAD DE MEXICO
Customer176,Class01,center,CIUDAD DE MEXICO
Customer177,Class01,center,CIUDAD DE MEXICO
Customer178,Class01,center,CIUDAD DE MEXICO
Customer179,Class01,center,CIUDAD DE MEXICO
Customer180,Class01,center,CIUDAD DE MEXICO
Customer181,Class01,center,CIUDAD DE MEXICO
Customer182,Class01,center,CIUDAD DE MEXICO
Customer183,Class01,center,CIUDAD DE MEXICO
Customer184,Class01,center,CIUDAD DE MEXICO
Customer185,Class01,center,CIUDAD DE MEXICO
Customer186,Class01,center,CIUDAD DE MEXICO
Customer187,Class01,center,CIUDAD DE MEXICO
Customer188,Class01,center,CIUDAD DE MEXICO
Customer189,Class01,center,CIUDAD DE MEXICO
Customer190,Class01,center,CIUDAD DE MEXICO
Customer191,Class01,center,CIUDAD DE MEXICO
Customer192,Class01,center,CIUDAD DE MEXICO
Customer193,Class01,center,CIUDAD DE MEXICO
Customer194,Class01,center,CIUDAD DE MEXICO
Customer195,Class01,center,CIUDAD DE MEXICO
Customer196,Class01,center,CIUDAD DE MEXICO
Customer197,Class01,center,CIUDAD DE MEXICO
Customer198,Class01,center,CIUDAD DE MEXICO
Customer199,Class01,center,CIUDAD DE MEXICO
Customer200,Class01,center,CIUDAD DE MEXICO
Customer201,Class01,center,CIUDAD DE MEXICO
Customer202,Class01,center,CIUDAD DE MEXICO
Customer203,Class01,center,CIUDAD DE MEXICO
Customer204,Class01,center,CIUDAD DE MEXICO
Customer205,Class01,center,CIUDAD DE MEXICO
Customer206,Class01,center,CIUDAD DE MEXICO
Customer207,Class01,center,MORELOS
Customer208,Class01,center,CIUDAD DE MEXICO
Customer209,Class01,center,CIUDAD DE MEXICO
Customer210,Class01,center,CIUDAD DE MEXICO
Customer211,Class01,center,CIUDAD DE MEXICO
Customer212,Class01,center,CIUDAD DE MEXICO
Customer213,Class01,center,CIUDAD DE MEXICO
Customer214,Class01,center,CIUDAD DE MEXICO
Customer215,Class01,center,CIUDAD DE MEXICO
Customer216,Class01,center,CIUDAD DE MEXICO
Customer217,Class01,center,CIUDAD DE MEXICO
Customer218,Class01,center,CIUDAD DE MEXICO
