Customer,Class,Kcustomer,Location
Customer202,Class01,Local,
Customer203,Class01,Local,
Customer204,Class01,Local,
Customer205,Class01,Local,
Customer206,Class01,Foraneo,
Customer207,Class01,Foraneo,MORELOS
Customer208,Class01,Local,
Customer209,Class01,Foraneo,
Customer210,Class01,Local,
Customer211,Class01,Local,
Customer212,Class01,Local,
Customer213,Class01,Local,
Customer214,Class01,Local,
Customer215,Class01,Local,
Customer216,Class01,Local,
Customer217,Class01,Local,
Customer218,Class01,Local,
Customer219,Class01,Local,
Customer220,Class01,Local,
Customer221,Class01,Local,
Customer222,Class01,Local,
Customer223,Class01,Local,
Customer224,Class01,Local,
Customer225,Class01,Foraneo,
Customer226,Class01,Local,
Customer227,Class01,Local,
Customer228,Class02,Foraneo,
Customer229,Class01,Local,
Customer230,Class01,Local,
Customer231,Class01,Local,
Customer232,Class01,Local,
Customer233,Class01,Local,
Customer234,Class01,Local,
Customer235,Class01,Local,
Customer236,Class01,Local,
Customer237,Class01,Local,
Customer238,Class01,Local,
Customer239,Class01,Local,
Customer240,Class01,Local,
Customer241,Class01,Local,CDMX
Customer242,Class01,Foraneo,CDMX
Customer243,Class01,Foraneo,CDMX
Customer244,Class01,Local,CDMX
Customer245,Class01,Foraneo,AGUASCALIENTES
Customer246,Class01,Foraneo,CDMX
Customer247,Class01,Local,CDMX
Customer248,Class01,Local,cdmx
Customer249,Class01,Foraneo,EDO MEX
Customer250,Class01,Local,CDMX
Customer251,Class01,Local,CDMX
Customer252,Class01,Foraneo,CDMX
Customer253,Class01,Local,CDMX
Customer254,Class01,Foraneo,CDMX
Customer255,Class01,Local,CDMX
Customer256,Class01,Local,DISTRITO FEDERAL
Customer257,Class01,Local,CDMX
Customer258,Class01,Local,CDMX
Customer259,Class01,Local,CDMX
Customer260,Class01,Local,EDO MEX
Customer261,Class01,Foraneo,GUERRERO
Customer262,Class01,Foraneo,EDO MEX
Customer263,Class01,Local,CDMX
Customer264,Class01,Local,EDO MEX
Customer265,Class01,Foraneo,VERACRUZ
Customer266,Class01,Foraneo,CDMX
